goalID,name,unitOfMeasure,status,targetValue,currentValue,startDate,endDate
1,Bar apply age people candidate,Percent,In Progress,8169,1762,2025-12-04,2026-06-28
2,Source town blue,Tasks,In Progress,4826,9606,2025-08-12,2025-10-12
3,Loss positive defense majority message,Tasks,In Progress,4077,9505,2025-05-25,2026-05-08
4,Order understand clearly set,Tasks,Not Started,8537,6127,2026-02-26,2026-06-02
5,Think term each fly wonder,Number,Not Started,8781,9760,2026-02-27,2027-01-30
6,Land lay town him,USD,Not Started,7686,2013,2026-01-01,2026-05-16
7,Of full edge degree just loss,Number,Not Started,4035,5209,2025-07-10,2026-07-06
8,Idea perform course everything man road,USD,Completed,2240,8481,2025-12-09,2026-05-30
9,Around crime pull outside beat,Percent,Completed,4510,1030,2025-10-24,2025-12-25
10,Brother lay south claim lawyer note,Number,Not Started,7993,8829,2025-10-11,2026-05-17
11,Before prevent surface easy whole medical,Percent,Not Started,802,7308,2025-05-17,2025-11-19
12,Myself form example we,Tasks,Not Started,9322,4107,2026-01-11,2026-10-22
13,Arrive ask two artist identify,USD,In Progress,4030,6168,2026-01-31,2026-12-17
14,Course since relate apply,Number,In Progress,8774,6047,2025-09-15,2026-02-16
15,Cover sure among use day into,USD,Not Started,2515,6855,2026-02-27,2026-11-14
16,Probably board president capital again,Number,In Progress,859,2462,2026-02-22,2026-06-27
17,Subject teacher region face,Number,Completed,2272,4321,2025-11-21,2026-03-29
18,Popular performance art until,Number,In Progress,9795,3443,2025-05-09,2026-04-18
19,Side if turn,Tasks,In Progress,5986,8517,2025-09-08,2026-07-11
20,Sister early where,Tasks,In Progress,4110,5854,2026-02-19,2026-12-07
21,Piece blue party return none consumer,USD,Not Started,2162,8128,2025-09-26,2026-03-01
22,Site be community,Percent,In Progress,9653,6845,2025-09-20,2026-02-12
23,Those police return,Tasks,Not Started,1997,4561,2025-05-06,2025-12-06
24,Poor for best about,Number,In Progress,6882,6982,2025-07-21,2026-03-21
25,Develop however card,Tasks,Completed,3868,1529,2025-08-01,2026-04-07
26,Player final yeah,USD,Not Started,4947,2609,2025-05-25,2026-03-04
27,Fire hear light,Number,In Progress,4053,7479,2025-06-24,2026-06-16
28,Total per hear month ahead,Percent,Completed,1945,5549,2025-07-22,2026-06-22
29,Second ok send end,Number,In Progress,6525,9278,2025-09-30,2026-02-13
30,Above help since enough,Number,Completed,6270,9184,2025-04-21,2025-06-14
